STATE_ABRV,STATE,ZONE,CWA,NAME,STATE_ZONE,COUNTY,FIPS,TIME_zone,FE_AREA,LAT,LON
NM,NEW MEXICO,201,ABQ,Northwest Plateau,NM201,McKinley,35031,M,nw,36.427,-108.4064
NM,NEW MEXICO,201,ABQ,Northwest Plateau,NM201,San Juan,35045,M,nw,36.427,-108.4064
NM,NEW MEXICO,202,ABQ,Chuska Mountains,NM202,McKinley,35031,M,nw,36.0409,-108.9296
NM,NEW MEXICO,202,ABQ,Chuska Mountains,NM202,San Juan,35045,M,nw,36.0409,-108.9296
NM,NEW MEXICO,203,ABQ,Far Northwest Highlands,NM203,Rio Arriba,35039,M,nc,36.6585,-107.1028
NM,NEW MEXICO,203,ABQ,Far Northwest Highlands,NM203,Sandoval,35043,M,nc,36.6585,-107.1028
NM,NEW MEXICO,203,ABQ,Far Northwest Highlands,NM203,San Juan,35045,M,nc,36.6585,-107.1028
NM,NEW MEXICO,204,ABQ,Northwest Highlands,NM204,McKinley,35031,M,nc,36.0067,-107.5052
NM,NEW MEXICO,204,ABQ,Northwest Highlands,NM204,Rio Arriba,35039,M,nc,36.0067,-107.5052
NM,NEW MEXICO,204,ABQ,Northwest Highlands,NM204,Sandoval,35043,M,nc,36.0067,-107.5052
NM,NEW MEXICO,204,ABQ,Northwest Highlands,NM204,San Juan,35045,M,nc,36.0067,-107.5052
NM,NEW MEXICO,205,ABQ,West Central Plateau,NM205,Catron,35003,M,wc,35.0288,-108.817
NM,NEW MEXICO,205,ABQ,West Central Plateau,NM205,Cibola,35006,M,wc,35.0288,-108.817
NM,NEW MEXICO,205,ABQ,West Central Plateau,NM205,McKinley,35031,M,wc,35.0288,-108.817
NM,NEW MEXICO,206,ABQ,West Central Mountains,NM206,Catron,35003,M,nc,35.0709,-108.0574
NM,NEW MEXICO,206,ABQ,West Central Mountains,NM206,Cibola,35006,M,nc,35.0709,-108.0574
NM,NEW MEXICO,206,ABQ,West Central Mountains,NM206,McKinley,35031,M,nc,35.0709,-108.0574
NM,NEW MEXICO,206,ABQ,West Central Mountains,NM206,Sandoval,35043,M,nc,35.0709,-108.0574
NM,NEW MEXICO,206,ABQ,West Central Mountains,NM206,Socorro,35053,M,nc,35.0709,-108.0574
NM,NEW MEXICO,207,ABQ,West Central Highlands,NM207,Bernalillo,35001,M,nc,34.9677,-107.3538
NM,NEW MEXICO,207,ABQ,West Central Highlands,NM207,Cibola,35006,M,nc,34.9677,-107.3538
NM,NEW MEXICO,207,ABQ,West Central Highlands,NM207,McKinley,35031,M,nc,34.9677,-107.3538
NM,NEW MEXICO,207,ABQ,West Central Highlands,NM207,Sandoval,35043,M,nc,34.9677,-107.3538
NM,NEW MEXICO,207,ABQ,West Central Highlands,NM207,Socorro,35053,M,nc,34.9677,-107.3538
NM,NEW MEXICO,207,ABQ,West Central Highlands,NM207,Valencia,35061,M,nc,34.9677,-107.3538
NM,NEW MEXICO,208,ABQ,Southwest Mountains,NM208,Catron,35003,M,cc,33.8571,-108.317
NM,NEW MEXICO,208,ABQ,Southwest Mountains,NM208,Socorro,35053,M,cc,33.8571,-108.317
NM,NEW MEXICO,209,ABQ,San Francisco River Valley,NM209,Catron,35003,M,wc,33.509,-108.8601
NM,NEW MEXICO,210,ABQ,Tusas Mountains Including Chama,NM210,Rio Arriba,35039,M,nc,36.7058,-106.2539
NM,NEW MEXICO,210,ABQ,Tusas Mountains Including Chama,NM210,Taos,35055,M,nc,36.7058,-106.2539
NM,NEW MEXICO,211,ABQ,Jemez Mountains,NM211,Los Alamos,35028,M,nc,35.9021,-106.5974
NM,NEW MEXICO,211,ABQ,Jemez Mountains,NM211,Rio Arriba,35039,M,nc,35.9021,-106.5974
NM,NEW MEXICO,211,ABQ,Jemez Mountains,NM211,Sandoval,35043,M,nc,35.9021,-106.5974
NM,NEW MEXICO,212,ABQ,Glorieta Mesa Including Glorieta Pass,NM212,San Miguel,35047,M,nc,35.516,-105.694
NM,NEW MEXICO,212,ABQ,Glorieta Mesa Including Glorieta Pass,NM212,Santa Fe,35049,M,nc,35.516,-105.694
NM,NEW MEXICO,213,ABQ,Northern Sangre de Cristo Mountains,NM213,Colfax,35007,M,ne,36.7161,-105.3905
NM,NEW MEXICO,213,ABQ,Northern Sangre de Cristo Mountains,NM213,Taos,35055,M,ne,36.7161,-105.3905
NM,NEW MEXICO,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Colfax,35007,M,nc,35.9865,-105.5998
NM,NEW MEXICO,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Mora,35033,M,nc,35.9865,-105.5998
NM,NEW MEXICO,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Rio Arriba,35039,M,nc,35.9865,-105.5998
NM,NEW MEXICO,214,ABQ,Southern Sangre de Cristo Mountains,NM214,San Miguel,35047,M,nc,35.9865,-105.5998
NM,NEW MEXICO,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Santa Fe,35049,M,nc,35.9865,-105.5998
NM,NEW MEXICO,214,ABQ,Southern Sangre de Cristo Mountains,NM214,Taos,35055,M,nc,35.9865,-105.5998
NM,NEW MEXICO,215,ABQ,East Slopes Sangre de Cristo Mountains,NM215,Colfax,35007,M,ne,36.2296,-105.1554
NM,NEW MEXICO,215,ABQ,East Slopes Sangre de Cristo Mountains,NM215,Mora,35033,M,ne,36.2296,-105.1554
NM,NEW MEXICO,215,ABQ,East Slopes Sangre de Cristo Mountains,NM215,San Miguel,35047,M,ne,36.2296,-105.1554
NM,NEW MEXICO,216,ABQ,Upper Rio Grande Valley,NM216,Rio Arriba,35039,M,nc,36.6232,-105.7524
NM,NEW MEXICO,216,ABQ,Upper Rio Grande Valley,NM216,Taos,35055,M,nc,36.6232,-105.7524
NM,NEW MEXICO,217,ABQ,Espanola Valley,NM217,Rio Arriba,35039,M,nc,36.1335,-106.0931
NM,NEW MEXICO,217,ABQ,Espanola Valley,NM217,Santa Fe,35049,M,nc,36.1335,-106.0931
NM,NEW MEXICO,217,ABQ,Espanola Valley,NM217,Taos,35055,M,nc,36.1335,-106.0931
NM,NEW MEXICO,218,ABQ,Santa Fe Metro Area,NM218,Bernalillo,35001,M,nc,35.5304,-106.1074
NM,NEW MEXICO,218,ABQ,Santa Fe Metro Area,NM218,Sandoval,35043,M,nc,35.5304,-106.1074
NM,NEW MEXICO,218,ABQ,Santa Fe Metro Area,NM218,Santa Fe,35049,M,nc,35.5304,-106.1074
NM,NEW MEXICO,219,ABQ,Middle Rio Grande Valley/Albuquerque Metro Area,NM219,Bernalillo,35001,M,nc,35.0023,-106.7444
NM,NEW MEXICO,219,ABQ,Middle Rio Grande Valley/Albuquerque Metro Area,NM219,Cibola,35006,M,nc,35.0023,-106.7444
NM,NEW MEXICO,219,ABQ,Middle Rio Grande Valley/Albuquerque Metro Area,NM219,Sandoval,35043,M,nc,35.0023,-106.7444
NM,NEW MEXICO,219,ABQ,Middle Rio Grande Valley/Albuquerque Metro Area,NM219,Torrance,35057,M,nc,35.0023,-106.7444
NM,NEW MEXICO,219,ABQ,Middle Rio Grande Valley/Albuquerque Metro Area,NM219,Valencia,35061,M,nc,35.0023,-106.7444
NM,NEW MEXICO,220,ABQ,Lower Rio Grande Valley,NM220,Socorro,35053,M,cc,33.9223,-106.8008
NM,NEW MEXICO,221,ABQ,Sandia/Manzano Mountains Including Edgewood,NM221,Bernalillo,35001,M,nc,34.9556,-106.3043
NM,NEW MEXICO,221,ABQ,Sandia/Manzano Mountains Including Edgewood,NM221,Sandoval,35043,M,nc,34.9556,-106.3043
NM,NEW MEXICO,221,ABQ,Sandia/Manzano Mountains Including Edgewood,NM221,Santa Fe,35049,M,nc,34.9556,-106.3043
NM,NEW MEXICO,221,ABQ,Sandia/Manzano Mountains Including Edgewood,NM221,Torrance,35057,M,nc,34.9556,-106.3043
NM,NEW MEXICO,221,ABQ,Sandia/Manzano Mountains Including Edgewood,NM221,Valencia,35061,M,nc,34.9556,-106.3043
NM,NEW MEXICO,222,ABQ,Estancia Valley,NM222,Bernalillo,35001,M,nc,34.789,-105.9856
NM,NEW MEXICO,222,ABQ,Estancia Valley,NM222,Santa Fe,35049,M,nc,34.789,-105.9856
NM,NEW MEXICO,222,ABQ,Estancia Valley,NM222,Torrance,35057,M,nc,34.789,-105.9856
NM,NEW MEXICO,223,ABQ,Central Highlands,NM223,San Miguel,35047,M,nc,34.8354,-105.5657
NM,NEW MEXICO,223,ABQ,Central Highlands,NM223,Santa Fe,35049,M,nc,34.8354,-105.5657
NM,NEW MEXICO,223,ABQ,Central Highlands,NM223,Torrance,35057,M,nc,34.8354,-105.5657
NM,NEW MEXICO,224,ABQ,South Central Highlands,NM224,Lincoln,35027,M,cc,34.1329,-106.1646
NM,NEW MEXICO,224,ABQ,South Central Highlands,NM224,Socorro,35053,M,cc,34.1329,-106.1646
NM,NEW MEXICO,224,ABQ,South Central Highlands,NM224,Torrance,35057,M,cc,34.1329,-106.1646
NM,NEW MEXICO,224,ABQ,South Central Highlands,NM224,Valencia,35061,M,cc,34.1329,-106.1646
